"Bratislavský kraj","Trnavský kraj","Trenčiansky kraj","Nitriansky kraj","Žilinský kraj","Banskobystrický kraj","Prešovský kraj","Košický kraj","Zahraničie","Váha"
0.24179145911718247,-0.17464100061569443,0.14273146862857344,-0.25527317020478124,0.2752133152659517,-0.2923998380145616,-0.050148732699135,0.020179692375370317,1.780640489179582,0.198019801980198
-0.20642282659710331,0.002144713670019782,0.1373743257714306,-0.12491602734763863,-0.008715256162619811,-0.00489983801456173,0.20163698158657906,0.1362511209467987,0.22706906060815313,0.0024752475247524753
-0.12516198217836416,-0.20635731062147822,-0.0023017875888933226,-0.3160669816564876,0.3588382429698267,-0.5364209484830406,0.7438579185443579,-0.0745643793423858,-0.03232943563244817,0.1746817538896747
0.24595812578384912,0.002144713670019782,0.1373743257714306,-0.31539221782382887,0.1341418866945232,-0.14775698087170452,0.08258936253896021,0.01720350189917985,-1.0586452251061325,0.0021216407355021216
-0.3400633795924951,-0.17527464116868985,0.4438259386746566,-0.24012340061952786,0.053496725404200585,0.20708172880571474,0.19011624425939022,-0.08494703573522866,-0.9134839347835518,0.021923620933521924
-0.5873752075494842,0.6688113803366865,-0.8626256742285694,1.5734966710650602,-0.7547470021943656,0.4077985746838513,-0.9729661930165954,0.628314613010291,-1.0586452251061325,0.003182461103253182
0.3515991514248745,0.7898370213623273,-0.5610872126901079,0.9287103462787352,-0.5935504209977844,-0.12160313471785833,-0.6871542272046296,0.0428445275402054,1.4167393902784828,0.22984441301272984
0.36695026129504094,0.059313497699058026,0.028481403811358108,-0.23432748703133044,0.14049397380886086,-0.28841033840346486,0.013018884620024984,-0.15218548781648866,0.09652718868697097,0.38967468175388964
-0.22840084857512533,-0.5363168247915187,-0.09339490499780012,-0.3666742691058802,-0.01970426715163065,0.0060891729744492196,0.6082303881799858,0.38899837369405166,1.8644316979707904,0.004596888260254597
0.3869837668094901,-0.3824706709453648,-0.01647182807472325,-0.21282811525972634,0.05721880977144622,0.0060891729744492196,0.1466919266415243,0.08130606600174395,-0.36633753279844017,0.004596888260254597
0.7331376129633361,0.38676009828540436,-0.054933366536261796,-0.4820588844904956,-0.09662734407470752,-0.2246800577947815,-0.045615765666167984,-0.22638624169056387,0.749047082586175,0.009193776520509194
0.6576047121292307,-0.23881914175166696,0.08918155468709332,-0.2591673182254354,0.0016117662125955112,-0.1116124025584515,-0.19251103906746558,-0.0530776225988121,0.5558126062191688,0.029349363507779346
0.20769025065796776,0.024803323941923083,0.29749517169288064,-0.048524141288078804,0.07371892596944762,-0.24896544008620602,-0.1883069113784619,-0.11774111038682222,-0.8139322341695765,0.2340876944837341
-0.23506497652638203,-0.18491327784341738,0.3937392479779369,-0.03121022819629482,0.24800327283313695,-0.11345712231442029,0.08247149360921013,-0.1611321888127486,-0.8489563990806728,1
-0.6731837884075701,1.8486793671353663,-0.8576751791790644,2.0575450759055443,-0.8609076182559718,0.05273806863324593,-1.076651561553449,0.03370515206419622,-0.6329026508487068,0.14285714285714285
-0.2170048371791139,-0.2999386196633136,0.4128372887343934,-0.09316999560160677,0.6052067015093381,-0.036645869760593586,-0.05166989672029909,-0.3612687203230426,-0.8375804102913177,0.3055162659123055
-0.5089438350004647,-0.2919729333888038,-0.03909626246386344,-0.3350000609610839,-0.10115223095253567,0.3816547838341777,0.7394521076369993,0.08583095287957176,-0.5292334604002502,0.006011315417256012
0.15391832478882417,-0.07248215200162211,0.34632954965202756,-0.116387242699451,0.1192165135601948,-0.04327936893140616,-0.17362954293367672,-0.23901540357345707,-0.05864522510613246,0.02369165487977369
1.1007790624229679,-0.123475121040724,0.07456440841605871,-0.25561260349876014,0.03496833297551505,-0.2733768155824483,-0.4055649074334916,-0.3089672969988918,1.4107762624971734,0.4278642149929278
-0.5318196519939287,-0.38674417521886906,-0.15429234089523602,-0.1626144400460512,-0.12974700219436563,0.43557635246162874,0.45758936253896043,0.46164794634362427,-1.0586452251061325,0.025459688826025458
-0.33737520754948425,-0.24785528632998022,0.1373743257714306,-0.2320588844904956,0.30080855336118995,0.10224301912829548,0.3325893625389602,-0.1494631647674869,-0.30864522510613246,0.004243281471004243
-0.3348876453604295,-0.14337767438968163,0.22319522129381886,-0.1362877402118886,0.3480722349532297,0.15199426290939,0.0900520491061243,-0.1780701299416162,-0.40441636938473935,0.28429985855728424
-0.12070854088281757,-0.31785528632998017,-0.22262567422856938,-0.3420588844904956,-0.18585811330547675,0.6922430191282956,0.15592269587229346,0.2105368352325132,0.8213547748938674,0.00884016973125884
