"Bratislava I","Bratislava II","Bratislava III","Bratislava IV","Bratislava V","Malacky","Pezinok","Senec","Dunajská Streda","Galanta","Piešťany","Senica","Skalica","Hlohovec","Trnava","Bánovce nad Bebravou","Myjava","Nové Mesto nad Váhom","Považská Bystrica","Púchov","Partizánske","Prievidza","Ilava","Trenčín","Komárno","Levice","Nitra","Zlaté Moravce","Nové Zámky","Šaľa","Topoľčany","Čadca","Dolný Kubín","Liptovský Mikuláš","Martin","Turčianske Teplice","Námestovo","Tvrdošín","Ružomberok","Bytča","Kysucké Nové Mesto","Žilina","Banská Bystrica","Brezno","Lučenec","Poltár","Revúca","Rimavská Sobota","Veľký Krtíš","Detva","Krupina","Zvolen","Banská Štiavnica","Žarnovica","Žiar nad Hronom","Bardejov","Humenné","Medzilaborce","Snina","Kežmarok","Levoča","Poprad","Prešov","Sabinov","Stará Ľubovňa","Stropkov","Svidník","Vranov nad Topľou","Košice I","Košice II","Košice III","Košice IV","Košice - okolie","Michalovce","Sobrance","Rožňava","Gelnica","Spišská Nová Ves","Trebišov","Cudzina"
0.5483870967741936,0.8387096774193549,0.5806451612903225,0.870967741935484,1,1.2580645161290323,0.9354838709677419,0.7741935483870968,0.903225806451613,1,0.7741935483870968,1.161290322580645,1.129032258064516,0.7419354838709677,0.7419354838709677,0.8064516129032259,0.870967741935484,1.1935483870967742,0.903225806451613,0.870967741935484,1.032258064516129,0.9354838709677419,0.903225806451613,0.903225806451613,1.0645161290322582,1.129032258064516,0.7741935483870968,0.903225806451613,0.903225806451613,1.161290322580645,0.8387096774193549,0.5483870967741936,0.8064516129032259,0.870967741935484,0.9677419354838709,1.3548387096774193,0.6451612903225807,0.7096774193548387,1.161290322580645,0.6774193548387096,0.6129032258064516,0.8387096774193549,0.9677419354838709,1.2903225806451615,1.774193548387097,1.2258064516129032,2.5161290322580645,3.129032258064516,1.741935483870968,0.8387096774193549,1.3225806451612903,0.870967741935484,1.3548387096774193,1.0967741935483872,1.5161290322580645,0.9677419354838709,0.3870967741935484,1.3870967741935483,0.48387096774193544,1,0.903225806451613,0.8387096774193549,1.1935483870967742,1.0645161290322582,1.0645161290322582,1,0.9677419354838709,0.7419354838709677,0.7741935483870968,0.7419354838709677,0.7419354838709677,0.7741935483870968,1.4193548387096775,1.0967741935483872,1.1935483870967742,2.32258064516129,1.8387096774193548,1.2258064516129032,2.096774193548387,0.48387096774193544
0.5,0.33333333333333337,0.5,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.5,0.5,0.33333333333333337,0.8333333333333334,0.33333333333333337,0.5,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1,0.5,0.16666666666666669,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.16666666666666669,0.5,0.6666666666666667,0.8333333333333334,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.5,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.8333333333333334,0.6666666666666667,1.1666666666666667,0.33333333333333337,0.16666666666666669,0.8333333333333334,0.33333333333333337,0.5,0.5,0.5,0.6666666666666667,2.666666666666667,1.1666666666666667,3.166666666666667,2.166666666666667,1.5,0.5,1.3333333333333335,0.8333333333333334,1.3333333333333335,0.5,0.8333333333333334,1.5,1.6666666666666667,6.166666666666667,2,1.6666666666666667,1,0.8333333333333334,1.6666666666666667,1.3333333333333335,1.1666666666666667,8.666666666666668,3.166666666666667,3,1.1666666666666667,0.8333333333333334,0.8333333333333334,1,2,2.666666666666667,2,2.5,2.5,1.1666666666666667,5.666666666666667,0.16666666666666669
2.3157015590200447,1.8808463251670378,1.9671492204899776,1.8580178173719375,1.708240534521158,1.205456570155902,1.4543429844097995,1.5350779510022272,0.7371937639198218,0.7817371937639197,1.1403118040089086,1.0089086859688197,1.1520044543429844,0.8730512249443206,1.0790645879732739,0.7783964365256124,1.188195991091314,0.992761692650334,0.8301781737193764,0.7867483296213809,0.7583518930957683,0.8853006681514476,0.811804008908686,1.1475501113585744,0.5846325167037861,0.8279510022271714,1.0139198218262806,0.6353006681514476,0.7527839643652561,0.9136971046770601,0.6403118040089086,0.5707126948775055,0.9198218262806236,1.0328507795100224,1.0785077951002227,0.80456570155902,0.5194877505567929,0.6202672605790646,0.8329621380846325,0.6219376391982182,0.6581291759465479,1.0835189309576838,1.208240534521158,0.7511135857461024,0.7371937639198218,0.505011135857461,0.4749443207126948,0.4871937639198218,0.5423162583518931,0.6241648106904232,0.6804008908685969,1.1080178173719375,0.9621380846325167,0.7065701559020043,0.9988864142538976,0.4905345211581292,0.4871937639198218,0.34743875278396436,0.39309576837416477,0.5534521158129175,0.5055679287305123,0.9816258351893095,0.8312917594654788,0.41703786191536746,0.40033407572383073,0.4114699331848552,0.3775055679287305,0.3708240534521158,1.5083518930957682,1.265033407572383,1.1553452115812917,1.3012249443207127,0.6965478841870824,0.48942093541202664,0.2956570155902004,0.6458797327394209,0.5194877505567929,0.6993318485523385,0.4253897550111358,3.4354120267260577
0.25,0.625,0.625,0.5,0.625,1.125,1.125,0.625,0.625,1.375,1.375,1,1.5,1.25,0.625,1.125,0.625,1,1.375,0.625,0.75,0.75,0.8750000000000001,1,0.75,0.75,0.625,0.5,0.8750000000000001,1.25,0.625,1.25,1.25,1.25,1,1,0.625,0.625,2,1.125,0.75,2.25,0.8750000000000001,1.125,1.375,0.75,1.7500000000000002,1.5,1.5,0.625,0.75,1.125,1,0.8750000000000001,0.8750000000000001,0.625,0.8750000000000001,0.8750000000000001,0.25,0.625,1.5,1.125,1,1,0.625,3.125,2.125,0.625,0.625,0.625,0.8750000000000001,0.8750000000000001,1.125,0.75,0.625,1.25,1,1,1.125,0.125
0.4634420697412823,0.6434195725534307,0.562429696287964,0.5545556805399324,0.687289088863892,0.9415073115860516,0.7851518560179978,0.8683914510686164,0.8571428571428571,1.1574803149606296,0.826771653543307,1.046119235095613,1.3183352080989876,0.7919010123734532,1.2654668166479188,0.6917885264341957,0.7064116985376828,0.8245219347581552,0.5286839145106862,0.62429696287964,0.6332958380202475,0.6647919010123734,0.5793025871766029,0.7165354330708661,0.84251968503937,1.0393700787401574,0.7559055118110235,0.701912260967379,0.8998875140607423,1.047244094488189,0.6096737907761529,0.5793025871766029,1.012373453318335,0.7615298087739032,0.7109111361079865,0.6681664791901012,0.8380202474690663,0.8998875140607423,1.0416197975253092,0.7109111361079865,0.6366704161979753,0.7784026996625422,0.5545556805399324,0.8200224971878515,1.1597300337457817,0.7435320584926884,2.0517435320584925,1.1046119235095613,0.9763779527559054,0.5534308211473565,0.6951631046119234,0.6906636670416197,0.561304836895388,0.7075365579302587,0.6096737907761529,1.5905511811023623,1.0089988751406074,1.2722159730033746,0.7941507311586051,3.014623172103487,1.716535433070866,1.3802024746906636,1.434195725534308,2.112485939257593,1.731158605174353,1.2272215973003373,1.5185601799775028,2.1957255343082114,0.9010123734533183,1.186726659167604,0.9662542182227221,1.0281214848143982,2.110236220472441,1.5433070866141732,1.141732283464567,1.6771653543307086,1.950506186726659,1.8335208098987625,1.4420697412823396,0.42857142857142855
0.24242424242424243,0.3636363636363636,0.45454545454545453,0.5151515151515151,0.5151515151515151,0.9696969696969697,1.3636363636363635,0.5757575757575757,0.30303030303030304,1.2727272727272727,1.0909090909090908,2.1515151515151514,1.606060606060606,2.5454545454545454,0.9696969696969697,1.606060606060606,1.6666666666666667,1.5757575757575757,0.8484848484848485,1.0909090909090908,1.1515151515151514,1.8181818181818181,1.121212121212121,1.2727272727272727,0.5454545454545454,1.121212121212121,0.6666666666666666,1.0303030303030303,0.6666666666666666,1.0909090909090908,0.8484848484848485,0.7575757575757576,1.3636363636363635,1.2424242424242422,1.303030303030303,2.606060606060606,0.5151515151515151,0.6060606060606061,1.4848484848484849,1.1818181818181819,0.8181818181818182,0.7575757575757576,1.0606060606060606,1.3636363636363635,1.4848484848484849,1.6666666666666667,1.2121212121212122,0.8787878787878787,0.7575757575757576,1.4848484848484849,1.121212121212121,1.5757575757575757,1.4545454545454544,1.6363636363636365,1.727272727272727,0.7272727272727272,1,1.0606060606060606,0.9393939393939393,0.8181818181818182,0.7575757575757576,1.2424242424242422,0.7878787878787878,0.7575757575757576,1,1.2727272727272727,1.2424242424242422,0.9090909090909091,0.696969696969697,0.7575757575757576,0.696969696969697,0.7878787878787878,0.8181818181818182,1.1515151515151514,0.9393939393939393,1.5454545454545454,1.4848484848484849,1.0909090909090908,1.2727272727272727,0.12121212121212122
0.6363636363636365,0.8181818181818181,0.4545454545454546,0.4545454545454546,0.5454545454545454,0.2727272727272727,0.36363636363636365,1.5454545454545456,8.090909090909092,2.6363636363636362,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.4545454545454546,0.5454545454545454,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.18181818181818182,5,2.3636363636363638,0.5454545454545454,0.2727272727272727,2.4545454545454546,2.6363636363636362,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.4545454545454546,0.18181818181818182,0,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.8181818181818181,0.36363636363636365,2.909090909090909,1,3.6363636363636367,7.636363636363636,3.727272727272727,0.2727272727272727,0.4545454545454546,0.4545454545454546,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.6363636363636365,0.4545454545454546,1.1818181818181819,0.4545454545454546,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.7272727272727273,0.09090909090909091,0.4545454545454546,0.6363636363636365,1.0909090909090908,0.8181818181818181,1.0909090909090908,2.090909090909091,1,0.8181818181818181,2.272727272727273,1,0.36363636363636365,1.6363636363636362,0.5454545454545454
0,0.25,0.25,0.5,0.75,0.75,1.7500000000000002,0.75,1,0.5,1.5,2.5,1.7500000000000002,0.75,2.5,4,4.25,0.75,0.25,0.25,1.7500000000000002,2.25,0.25,0.75,0.75,0.25,0.5,0.25,0.25,0.25,2,0.25,1,1.25,1,2.25,1,6,0.75,0.5,1,1,0.25,0.75,0.5,1.25,0.75,0.75,1.25,0.75,2,1.25,1.7500000000000002,1.5,0.75,0.25,0.25,3.5000000000000004,0.25,0.5,0.25,0.5,0.5,1.25,0.75,0,0.75,0.5,0.5,0.25,0.75,0.25,0.75,1.7500000000000002,0.25,1,1.25,0.5,1.25,0.5
1.423076923076923,1.5,1.1923076923076923,1.076923076923077,1.1923076923076923,0.5,0.6153846153846154,1.2692307692307692,6.884615384615384,2.192307692307692,0.3076923076923077,0.4615384615384615,0.38461538461538464,0.4615384615384615,0.34615384615384615,0.3076923076923077,0.5769230769230769,0.34615384615384615,0.4615384615384615,0.4230769230769231,0.3076923076923077,0.4230769230769231,0.9615384615384615,0.6923076923076923,2.1153846153846154,1.6538461538461537,0.8076923076923076,0.3076923076923077,2.192307692307692,1.346153846153846,0.23076923076923075,0.11538461538461538,0.34615384615384615,0.38461538461538464,0.5,0.23076923076923075,0.23076923076923075,0.2692307692307693,0.2692307692307693,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.5384615384615385,0.6538461538461539,4.5,0.2692307692307693,0.923076923076923,1.6153846153846152,5.115384615384616,0.4615384615384615,1.076923076923077,0.6153846153846154,0.5384615384615385,0.4615384615384615,0.5,0.5,0.6153846153846154,0.5,0.3076923076923077,0.8076923076923076,0.4615384615384615,0.38461538461538464,0.5384615384615385,0.15384615384615385,0.2692307692307693,0.19230769230769232,0.15384615384615385,0.34615384615384615,1.5384615384615385,1.1153846153846152,1.076923076923077,1.2307692307692308,1.076923076923077,2.692307692307692,0.5384615384615385,1.923076923076923,0.6538461538461539,0.4230769230769231,0.7307692307692307,1.3076923076923077
1,1.5,1,0.75,0.75,1.25,2,0.5,0.5,1,0.75,1.5,1.5,0.25,0.75,1.25,1.7500000000000002,2.25,1,0.75,1,1,1.7500000000000002,1.25,1,1,1,0.5,0.75,0.75,0.5,0.75,1.7500000000000002,1.7500000000000002,1,2,1.25,0.25,1.25,1,0.25,0.5,0.75,0.5,2.25,0.75,1.25,0.75,1,0.75,2,0.75,1.5,1.25,1.5,0.75,0.75,0.25,0.75,1.5,1,0.75,1,1.25,1,0.25,1,0.25,1.5,1.25,1,1,1.25,1,1.25,1,0.5,1.5,1.25,0.25
