"Bratislavský kraj","Trnavský kraj","Trenčiansky kraj","Nitriansky kraj","Žilinský kraj","Banskobystrický kraj","Prešovský kraj","Košický kraj","Cudzina","Váha"
0.870967741935484,0.903225806451613,0.9354838709677419,0.9354838709677419,0.8387096774193549,1.4838709677419355,0.9354838709677419,1.2903225806451615,0.48387096774193544,0.013513513513513513
0.33333333333333337,0.5,0.5,0.5,0.5,1.1666666666666667,1.8333333333333335,2.166666666666667,0.16666666666666669,0.0026155187445510023
1.7260579064587973,0.950445434298441,0.925946547884187,0.8028953229398663,0.8635857461024499,0.8329621380846325,0.6030066815144766,0.8173719376391981,3.4354120267260577,0.7829119442022667
0.75,1,0.8750000000000001,0.75,1.375,1.125,1,0.8750000000000001,0.125,0.003487358326068003
0.6940382452193475,1.0573678290213724,0.6670416197975252,0.8402699662542181,0.7761529808773903,0.8335208098987626,1.6625421822272215,1.514060742407199,0.42857142857142855,0.3875326939843069
0.6060606060606061,1.2121212121212122,1.393939393939394,0.7878787878787878,1.0303030303030303,1.303030303030303,0.9393939393939393,1,0.12121212121212122,0.014385353095030515
0.6363636363636365,2.272727272727273,0.18181818181818177,1.8181818181818183,0.18181818181818177,1.8181818181818183,0.4545454545454546,1.272727272727273,0.5454545454545454,0.004795117698343504
0.75,1.5,1.5,0.75,1.25,1,0.5,0.75,0.5,0.0017436791630340016
1.1153846153846152,1.9615384615384615,0.5,1.3076923076923077,0.2692307692307693,1.346153846153846,0.4615384615384615,1.2692307692307692,1.3076923076923077,0.011333914559721011
1,0.75,1.25,0.75,1,1,0.75,1.25,0.25,0.0017436791630340016
0.75,1,1.25,1.25,1,1.25,0.75,1.25,0.25,0.0017436791630340016
1.9778481012658227,0.8481012658227848,0.8908227848101266,0.7594936708860759,0.8797468354430379,0.8132911392405062,0.6487341772151898,0.9082278481012658,1.7088607594936709,0.27550130775937226
0.8054298642533937,0.9909502262443439,1.0045248868778283,0.9095022624434388,0.9140271493212669,1.2352941176470589,1.0678733031674208,1.244343891402715,0.248868778280543,0.09633827375762859
1.1111111111111112,1.1111111111111112,1.2222222222222223,0.888888888888889,0.888888888888889,1.2222222222222223,0.6666666666666666,0.888888888888889,1.3333333333333333,0.003923278116826504
0.7669039145907472,0.7882562277580071,1.295373665480427,0.8024911032028469,1.4430604982206405,1.1619217081850535,1.019572953736655,0.7793594306049821,0.6743772241992882,0.24498692240627723
0.8081952920662597,0.9594594594594594,1.2846556233653006,1.1033129904097645,1.1242371403661726,0.9978204010462075,0.9607672188317349,0.9197907585004359,0.26591107236268524,1
0.7047619047619048,0.8238095238095238,1.1156462585034013,0.979591836734694,1.091156462585034,1.3442176870748301,1.0993197278911566,1.0258503401360546,0.1673469387755102,0.6408020924149955
0.2077625570776256,2.8972602739726026,0.006849315068493178,3.1757990867579915,0.004566210045662156,1.1803652968036529,0.01598173515981738,1.2420091324200915,0.10730593607305938,0.19093286835222317
1,0.857142857142857,1,1.1428571428571428,1,2.4285714285714284,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.003051438535309503
1,1,1,0.5,1.5,1,1.5,1,0,8.718395815170008e-4
0.6785714285714285,0.9642857142857144,1.261904761904762,0.9523809523809524,1.1428571428571428,1.5833333333333335,0.75,0.9047619047619048,0.4523809523809524,0.036617262423714034
1.5119453924914674,0.9965870307167235,0.9692832764505118,0.7474402730375426,0.955631399317406,0.8191126279863481,0.9044368600682593,1.0170648464163823,0.8532423208191126,0.12772449869224062
0.718475073313783,0.6686217008797654,0.7976539589442816,0.595307917888563,1.3753665689149561,0.6290322580645161,2.063049853372434,0.9970674486803518,0.48533724340175954,0.2972972972972973
1,1.25,1.625,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.625,0.75,0.25,0.003487358326068003
0.6610526315789474,0.9221052631578948,1.1473684210526316,0.9389473684210526,1.1810526315789474,1.0905263157894736,1.0989473684210527,1.046315789473684,0.6736842105263158,0.2070619006102877
